nb_agent,nb_rq,nb_segment,exp_name,served_customers,profit,run_time
10,10,7,R,68,350.03407458403973,0.028669118881225586
10,10,8,R,112,561.8256472909582,0.013356208801269531
10,10,9,R,70,291.2077249540337,0.02175116539001465
10,10,10,R,86,536.4695085184039,0.027059078216552734
10,10,11,R,112,598.6873915563251,0.042900800704956055
10,10,7,O1,88,408.87346877546634,21.182214736938477
10,10,8,O1,70,429.81641982203644,2.423112154006958
10,10,9,O1,84,496.83603080586613,15.56264615058899
10,10,10,O1,55,190.4982152335504,9.63355803489685
10,10,7,O2,160,937.7611024649865,1.587388038635254
10,10,8,O2,167,965.3122021425229,4.5833070278167725
10,10,9,O2,189,1050.7706229415135,2.313857078552246
10,10,10,O2,230,1220.4176180486813,4.249329090118408
10,10,11,O2,200,1071.6848492689564,7.616951942443848
10,10,7,H1,250,1678.4022298002412,0.006654024124145508
10,10,8,H1,284,1840.0016667833113,0.007966041564941406
10,10,9,H1,312,1940.4556966014316,0.010605096817016602
10,10,7,H2,262,1743.9374547822881,0.0073108673095703125
10,10,8,H2,294,1884.878393426813,0.008911848068237305
10,10,9,H2,326,2011.7466439242226,0.011276960372924805
10,10,10,H2,358,2116.488108281201,0.12544941902160645
10,10,7,H1O1,250,1678.4022298002412,0.17920994758605957
10,10,8,H1O1,286,1831.882267311945,3.4875869750976562
10,10,9,H1O1,296,1894.2971337991987,1.0948989391326904
10,10,7,H2O2,256,1754.916256942148,0.008258819580078125
10,10,8,H2O2,292,1901.423450717102,0.009029865264892578
10,10,9,H2O2,326,2027.5821871165367,0.18215489387512207
10,10,10,H2O2,348,2092.749401897164,0.2544441223144531
50,50,7,R,193,943.8509954221774,0.711799144744873
50,50,8,R,203,1068.8900773641594,1.1182589530944824
50,50,9,R,245,1186.8093901041532,1.3428459167480469
50,50,10,R,268,1338.6426499443583,0.716508150100708
50,50,11,R,290,1543.8050815851,1.6114890575408936
50,50,7,O2,780,4284.869329660259,59.928805112838745
50,50,8,O2,773,4397.103249457903,59.66374921798706
50,50,9,O2,938,5247.131376416323,59.72770690917969
50,50,10,O2,829,4520.851877157341,59.70297813415527
50,50,11,O2,883,4756.293955656486,59.4419949054718
50,50,7,H1,1316,8911.106901298592,0.03453493118286133
50,50,8,H1,1336,9112.156424462466,0.040307044982910156
50,50,7,H2,1362,9265.846511569636,0.039153099060058594
50,50,8,H2,1556,10075.36946322983,0.04412102699279785
50,50,9,H2,1738,10681.350902686632,0.06850385665893555
50,50,10,H2,1792,10849.079335232725,0.6928000450134277
50,50,7,H2O2,1388,9360.828842380026,0.03731513023376465
50,50,8,H2O2,1576,10130.3335630787,2.328402042388916
50,50,9,H2O2,1744,10708.039982444861,2.8394429683685303
50,50,10,H2O2,1830,10989.383957369144,13.830809116363525
50,100,7,R,193,943.8509954221774,0.7303948402404785
50,100,8,R,203,1068.8900773641594,1.0974647998809814
50,100,9,R,245,1186.8093901041532,1.307892084121704
50,100,10,R,268,1338.6426499443583,0.6911129951477051
50,100,11,R,290,1543.8050815851,1.454190731048584
50,100,7,O2,779,4197.400110517156,36.34445595741272
50,100,8,O2,858,4509.649760169783,59.56634593009949
50,100,9,O2,1044,5650.159811694446,59.63323903083801
50,100,10,O2,941,4922.835869077677,59.544222831726074
50,100,11,O2,932,4825.020942640111,59.60347819328308
50,100,7,H1,1292,9799.733663519646,0.03598308563232422
50,100,7,H2,1400,11257.4448518994,0.036267995834350586
50,100,8,H2,1580,12069.6187621523,0.10393881797790527
50,100,9,H2,1496,11186.312637744997,4.376082897186279
50,100,7,H2O2,1400,11241.870727092877,0.03628897666931152
50,100,8,H2O2,1600,12135.999146304102,3.2942168712615967
100,50,7,R,345,1638.1528591420283,0.2794220447540283
100,50,8,R,324,1711.6019547391068,4.365677118301392
100,50,9,R,476,2611.5936040664424,3.5293309688568115

100,50,7,O2,675,3418.990403769938,59.54841589927673
100,50,8,O2,866,4505.125676227643,59.774917125701904
100,50,9,O2,986,5348.293337814832,59.96474885940552
100,50,10,O2,799,4198.150412788685,59.23642587661743
100,50,7,H1,2092,11845.840432629067,0.0798180103302002
100,50,8,H1,2074,11740.99964632105,0.09121012687683105
100,50,9,H1,2100,11829.86259297476,0.10219478607177734
100,50,10,H1,2100,11822.128205903568,0.12194085121154785
100,50,11,H1,2100,11822.128205903568,0.14412689208984375
100,50,7,H2,2100,11953.21376934101,0.08778786659240723
100,50,8,H2,2100,11953.306385525537,0.1043400764465332
100,50,9,H2,2100,11869.247876666064,0.11947011947631836
100,50,10,H2,2100,11866.732997130803,0.13741779327392578
100,50,11,H2,2100,11863.093818510586,0.15107107162475586
100,50,7,H2O2,2100,11946.820989663885,1.4268031120300293
100,50,8,H2O2,2100,11883.208439360298,4.798448324203491
100,50,9,H2O2,2100,11847.40195167278,6.034388065338135
100,50,10,H2O2,2100,11866.434943606666,0.13698101043701172
100,50,11,H2O2,2100,11846.186971767904,0.15120506286621094
100,100,7,R,345,1638.1528591420283,0.32576584815979004
100,100,8,R,324,1711.6019547391068,4.565221786499023
100,100,9,R,486,2600.088349520518,3.772584915161133
100,100,7,O2,779,4060.673302401674,59.27986812591553
100,100,8,O2,938,4783.021534794073,59.35590720176697
100,100,9,O2,1048,5512.612531553153,59.77857160568237
100,100,7,H1,2488,17242.887089809174,0.07614398002624512
100,100,8,H1,2640,17962.730516041902,0.09323716163635254
100,100,7,H2,2752,18768.423573159045,0.08559489250183105
100,100,8,H2,3132,20238.84790585646,0.10096311569213867
100,100,9,H2,3508,21575.491237182225,0.1265549659729004
100,100,7,H2O2,2800,18971.702710246147,9.043497323989868
100,100,8,H2O2,3200,20592.946502858445,9.916944026947021
