name	D	V	TS	TP
departure	3	1	0	0
arrival	3	0	1	11
departure	2	3	1	12
departure	4	0	1	12
departure	3	0	1	12
arrival	4	2	2	22
arrival	2	2	2	23
arrival	3	1	2	23
departure	2	2	2	23
departure	3	1	2	24
arrival	2	1	3	35
arrival	3	0	3	35
departure	1	3	3	36
arrival	1	1	4	47
departure	2	1	4	48
departure	1	1	4	48
departure	4	2	4	48
departure	0	4	4	48
departure	3	0	4	48
arrival	2	3	5	59
arrival	1	3	5	59
arrival	0	2	5	59
arrival	3	4	5	59
departure	2	3	5	59
departure	1	3	5	59
arrival	4	1	5	60
departure	3	4	5	60
arrival	1	4	6	69
arrival	3	3	6	70
arrival	2	2	6	70
departure	3	3	6	70
arrival	3	0	7	81
