['0', 0, 'ryend', 0]
['64', 0, 'ryend', 2]
['70', 0, 'jfk', 4]
['70', 0, 'ryend', 6]
['78', 0, 'lga', 8]
['60', 0, 'ryend', 10]
['58', 0, 'lga', 12]
['60', 0, 'ryend', 14]
['20', 0, 'cri', 16]
['2', 0, 'teb', 18]
['0', 0, 'teb', 20]
['40', 1, 'lga', 0]
['78', 1, 'ryend', 2]
['18', 1, 'jfk', 4]
['24', 1, 'cri', 6]
['100', 1, 'jfk', 8]
['24', 1, 'cri', 10]
['24', 1, 'jfk', 12]
['24', 1, 'cri', 14]
['56', 1, 'teb', 16]
['4', 1, 'ryend', 18]
['46', 1, 'cri', 20]
['4', 2, 'jfk', 0]
['70', 2, 'cri', 2]
['86', 2, 'teb', 4]
['12', 2, 'jfk', 6]
['68', 2, 'cri', 8]
['28', 2, 'jfk', 10]
['30', 2, 'cri', 12]
['10', 2, 'jfk', 14]
['98', 2, 'ryend', 16]
['22', 2, 'lga', 18]
['38', 2, 'ryend', 20]
['52', 3, 'teb', 0]
['74', 3, 'jfk', 2]
['76', 3, 'ryend', 4]
['42', 3, 'teb', 6]
['20', 3, 'ryend', 8]
['76', 3, 'cri', 10]
['64', 3, 'teb', 12]
['20', 3, 'lga', 14]
['68', 3, 'ryend', 16]
['24', 3, 'teb', 18]
['30', 3, 'ryend', 20]
['44', 4, 'cri', 0]
['84', 4, 'teb', 2]
['32', 4, 'ryend', 4]
['98', 4, 'jfk', 6]
['56', 4, 'ryend', 8]
['82', 4, 'jfk', 10]
['56', 4, 'ryend', 12]
['44', 4, 'teb', 14]
['20', 4, 'ryend', 16]
['64', 4, 'cri', 18]
['32', 4, 'teb', 20]
['16', 5, 'lga', 0]
['22', 5, 'teb', 2]
